id,x,y,z,theta
57,807.0,1595.0,0,0.0
56,807.0,1595.0,0,0.04052034650700413
21,2221.0,1596.0,0,-28.774724638821795
23,2343.0,1529.0,0,-67.56155458804437
24,2649.0,788.0,0,-105.72474572274743
25,2591.0,582.0,0,-171.57303097851934
26,2456.0,562.0,0,169.49699698108216
27,2278.0,595.0,0,-179.4743653935424
54,2169.0,594.0,0,180.0
29,2061.0,594.0,0,179.10482628978895
30,1485.0,603.0,0,-179.5398028320213
31,1236.0,601.0,0,-162.5528115767178
32,1131.0,568.0,0,-150.02355620242636
58,1040.1914942725537,515.6214521629945,0,-150.02355620242636
