id,x,y,z,theta
153,2331.1129,1546.1428,0,-53.0546
154,2337.3868,1537.8005,0,-57.4692
155,2343.0,1529.0,0,-67.5616
156,2346.825,1519.7375,0,-67.5616
157,2350.65,1510.475,0,-67.5616
158,2354.475,1501.2125,0,-67.5616
159,2358.3,1491.95,0,-67.5616
160,2362.125,1482.6875,0,-67.5616
161,2365.95,1473.425,0,-67.5616
162,2369.775,1464.1625,0,-67.5616
163,2373.6,1454.9,0,-67.5616
164,2377.425,1445.6375,0,-67.5616
165,2381.25,1436.375,0,-67.5616
166,2385.075,1427.1125,0,-67.5616
167,2388.9,1417.85,0,-67.5616
168,2392.725,1408.5875,0,-67.5616
169,2396.55,1399.325,0,-67.5616
170,2400.375,1390.0625,0,-67.5616
171,2404.2,1380.8,0,-67.5616
172,2408.025,1371.5375,0,-67.5616
173,2411.85,1362.275,0,-67.5616
174,2415.675,1353.0125,0,-67.5616
175,2419.5,1343.75,0,-67.5616
176,2423.325,1334.4875,0,-67.5616
177,2427.15,1325.225,0,-67.5616
178,2430.975,1315.9625,0,-67.5616
179,2434.8,1306.7,0,-67.5616
180,2438.625,1297.4375,0,-67.5616
181,2442.45,1288.175,0,-67.5616
182,2446.275,1278.9125,0,-67.5616
183,2450.1,1269.65,0,-67.5616
184,2453.925,1260.3875,0,-67.5616
185,2457.75,1251.125,0,-67.5616
186,2461.575,1241.8625,0,-67.5616
187,2465.4,1232.6,0,-67.5616
188,2469.225,1223.3375,0,-67.5616
189,2473.05,1214.075,0,-67.5616
190,2476.875,1204.8125,0,-67.5616
191,2480.7,1195.55,0,-67.5616
192,2484.525,1186.2875,0,-67.5616
193,2488.35,1177.025,0,-67.5616
194,2492.175,1167.7625,0,-67.5616
195,2496.0,1158.5,0,-67.5616
196,2499.825,1149.2375,0,-67.5616
197,2503.65,1139.975,0,-67.5616
198,2507.475,1130.7125,0,-67.5616
199,2511.3,1121.45,0,-67.5616
200,2515.125,1112.1875,0,-67.5616
201,2518.95,1102.925,0,-67.5616
202,2522.775,1093.6625,0,-67.5616
203,2526.6,1084.4,0,-67.5616
204,2530.425,1075.1375,0,-67.5616
205,2534.25,1065.875,0,-67.5616
206,2538.075,1056.6125,0,-67.5616
207,2541.9,1047.35,0,-67.5616
208,2545.725,1038.0875,0,-67.5616
209,2549.55,1028.825,0,-67.5616
210,2553.375,1019.5625,0,-67.5616
211,2557.2,1010.3,0,-67.5616
212,2561.025,1001.0375,0,-67.5616
213,2564.85,991.775,0,-67.5616
214,2568.675,982.5125,0,-67.5616
215,2572.5,973.25,0,-67.5616
216,2576.325,963.9875,0,-67.5616
217,2580.15,954.725,0,-67.5616
218,2583.975,945.4625,0,-67.5616
219,2587.8,936.2,0,-67.5616
220,2591.625,926.9375,0,-67.5616
221,2595.45,917.675,0,-67.5616
222,2599.275,908.4125,0,-67.5616
223,2603.1,899.15,0,-67.5616
224,2606.925,889.8875,0,-67.5616
225,2610.75,880.625,0,-67.5616
226,2614.575,871.3625,0,-67.5616
227,2618.4,862.1,0,-67.5616
228,2622.225,852.8375,0,-67.5616
229,2626.05,843.575,0,-67.5616
230,2629.875,834.3125,0,-67.5616
231,2633.7,825.05,0,-67.5616
232,2637.525,815.7875,0,-67.5616
233,2641.35,806.525,0,-67.5616
234,2645.175,797.2625,0,-67.5616
235,2649.0,788.0,0,-76.2264
236,2651.432,778.0789,0,-79.0358
237,2653.3748,768.0505,0,-81.8451
238,2654.8238,757.939,0,-84.6545
239,2655.7754,747.7686,0,-87.4639
240,2656.2274,737.5638,0,-90.2732
241,2656.1787,727.349,0,-93.0826
242,2655.6294,717.149,0,-95.892
243,2654.5808,706.9881,0,-98.7013
244,2653.0355,696.8909,0,-101.5107
245,2650.9971,686.8815,0,-104.3201
246,2648.4706,676.984,0,-107.1294
247,2645.462,667.2223,0,-109.9388
248,2641.9786,657.6198,0,-112.7482
249,2638.0287,648.1995,0,-115.5575
250,2633.6218,638.9842,0,-118.3669
251,2628.7686,629.9959,0,-121.1762
252,2623.4807,621.2563,0,-123.9856
253,2617.7707,612.7864,0,-126.795
254,2611.6525,604.6065,0,-129.6043
255,2605.1407,596.7364,0,-132.4137
256,2598.251,589.1948,0,-135.2231
257,2591.0,582.0,0,-145.7345
258,2582.6199,576.2908,0,-149.7097
259,2573.8641,571.1764,0,-153.6848
260,2564.7748,566.6812,0,-157.66
261,2555.3958,562.8269,0,-161.6351
262,2545.7722,559.6321,0,-165.6103
263,2535.9502,557.1121,0,-169.5855
264,2525.9772,555.2791,0,-173.5606
265,2515.9011,554.1419,0,-177.5358
266,2505.7703,553.7059,0,178.4891
267,2495.6338,553.9733,0,174.5139
268,2485.5402,554.9427,0,170.5388
269,2475.538,556.6095,0,166.5636
270,2465.6755,558.9657,0,162.5884
271,2456.0,562.0,0,169.497
272,2446.1111,563.8333,0,169.497
273,2436.2222,565.6667,0,169.497
274,2426.3333,567.5,0,169.497
275,2416.4444,569.3333,0,169.497
276,2406.5556,571.1667,0,169.497
277,2396.6667,573.0,0,169.497
278,2386.7778,574.8333,0,169.497
279,2376.8889,576.6667,0,169.497
280,2367.0,578.5,0,169.497
281,2357.1111,580.3333,0,169.497
282,2347.2222,582.1667,0,169.497
283,2337.3333,584.0,0,169.497
284,2327.4444,585.8333,0,169.497
285,2317.5556,587.6667,0,169.497
286,2307.6667,589.5,0,169.497
287,2297.7778,591.3333,0,169.497
288,2287.8889,593.1667,0,169.497
289,2278.0,595.0,0,-179.4744
290,2267.1,594.9,0,-179.4744
291,2256.2,594.8,0,-179.4744
292,2245.3,594.7,0,-179.4744
293,2234.4,594.6,0,-179.4744
294,2223.5,594.5,0,-179.4744
295,2212.6,594.4,0,-179.4744
296,2201.7,594.3,0,-179.4744
297,2190.8,594.2,0,-179.4744
298,2179.9,594.1,0,-179.4744
299,2169.0,594.0,0,180.0
300,2158.2,594.0,0,180.0
301,2147.4,594.0,0,180.0
302,2136.6,594.0,0,180.0
303,2125.8,594.0,0,180.0
304,2115.0,594.0,0,180.0
305,2104.2,594.0,0,180.0
306,2093.4,594.0,0,180.0
307,2082.6,594.0,0,180.0
308,2071.8,594.0,0,180.0
