id,u,v,radius,length,cx,cy
0,0,1,inf,307.423,,
1,2,4,inf,204.12,,
2,2,1,326.296,108.433,1269.036,274.448
3,5,0,121.259,181.499,752.233,409.037
4,0,6,121.259,296.87,752.233,409.037
5,6,5,121.259,283.526,752.233,409.037
